polling_firm,polling_firm,fieldwork_date,sample_size,margin_of_error,lee_pct,yoon_pct,others_pct,lead_pct,fieldwork_end_date
PNR,New Daily,31 Dec – 1 Jan,1002.0,±3.1%p,40.5,40.9,8.3,0.4%,2022-01-01
Opinion Research Justice,Dailian,31 Dec – 1 Jan,1000.0,±3.1%p,39.9,36.8,12.3,1.6%,2022-01-01
KSOI,TBS,31 Dec – 1 Jan,1000.0,±3.1%p,41.0,37.1,9.4,3.9%,2022-01-01
R&R,Choson,1 Jan,1013.0,±3.1%p,35.5,30.9,14.4,4.6%,2022-01-01
R&R,The Dong-a Ilbo,30 Dec – 1 Jan,1012.0,±3.1%p,39.9,30.2,16.4,9.7%,2022-01-01
Ace Research,Mudeung Daily,31 Dec – 1 Jan,1000.0,±3.1%p,44.1,35.6,8.3,8.5%,2022-01-01
Global Research,JTBC,1–2 Jan,1012.0,±3.1%p,37.0,28.1,22.6,8.9%,2022-01-02
KIR,Cheonji Daily,2 Jan,1003.0,±3.1%p,37.7,37.1,10.5,0.6%,2022-01-02
Korea Research,KBS,3–4 Jan,1000.0,±3.1%p,39.1,26.0,21.6,13.1%,2022-01-04
Media Research,OBS,4–5 Jan,1001.0,±3.1%p,40.3,37.0,7.1,3.3%,2022-01-05
R&S Research,MBN,4–5 Jan,1003.0,±3.1%p,38.5,34.2,11.8,4.3%,2022-01-05
GGilbo,NBS,5 Jan,1000.0,±3.1%p,36.0,28.0,22.0,8.0%,2022-01-05
Gallup Korea,Money Today,5 Jan,1001.0,±3.1%p,37.6,29.2,16.5,8.4%,2022-01-05
[citation needed],UPI news,4–6 Jan,1000.0,±3.1%p,41.0,38.0,6.0,3%,2022-01-06
Global Research,JTBC,5–6 Jan,1006.0,±3.1%p,38.0,25.1,21.9,12.9%,2022-01-06
Gallup Korea,Gallup Korea,6 Jan,1002.0,±3.1%p,36.0,26.0,18.0,10.0%,2022-01-06
RealMeter,Oh My News,2–7 Jan,3042.0,±1.8%p,40.1,34.1,11.9,6.0%,2022-01-07
Southern Post,CBS,7–8 Jan,1002.0,±3.1%p,34.1,26.4,23.6,7.7%,2022-01-08
PNR,New Daily,7–8 Jan,1001.0,±3.1%p,38.5,37.7,7.5,0.8%,2022-01-08
KRI,MBC,7–8 Jan,1003.0,±3.1%p,37.1,30.5,14.8,6.6%,2022-01-08
KSOI,TBS,7–8 Jan,1000.0,±3.1%p,37.6,35.2,9.4,2.4%,2022-01-08
Gallup Korea,Gallup Korea,11–13 Jan,1001.0,±3.1%p,37.0,31.0,12.0,6%,2022-01-13
RealMeter,Oh My News,9–14 Jan,3031.0,±1.8%p,36.7,40.6,7.8,3.9%,2022-01-14
PNR,New Daily,14–15 Jan,1000.0,±3.1%p,33.8,44.8,6.7,11.0%,2022-01-15
Global Research,JTBC,16–17 Jan,1020.0,±3.1%p,34.6,32.9,15.2,1.7%,2022-01-17
Gallup Korea,Gallup Korea,18–20 Jan,1002.0,±3.1%p,34.0,33.0,13.0,1%,2022-01-20
RealMeter,Oh My News,17–21 Jan,3031.0,±1.8%p,36.8,42.0,8.7,5.2%,2022-01-21
Embrain Public,Munhwa Ilbo,24–25 Jan,1001.0,±3.1%p,33.5,35.9,14.7,2.4%,2022-01-25
KIR,NewsPim,26 Jan,1005.0,±3.1%p,35.6,42.4,3.7,6.8%,2022-01-26
Korea Research,MBC,26–27 Jan,1002.0,±3.1%p,32.9,41.1,11.9,8.2%,2022-01-27
PNR,New Daily,28–29 Jan,2001.0,±2.2%p,39.7,45.1,4.4,5.4%,2022-01-29
Opinion Research Justice,Dailian,29 Jan,1002.0,±3.1%p,38.1,43.5,7.1,5.4%,2022-01-29
Hangil Research,Kuki news,2 Feb,1012.0,±3.1%p,40.4,38.5,6.9,1.9%,2022-02-02
Research View,UPI News,1–3 Feb,1000.0,±3.1%p,38.0,46.0,3.0,8%,2022-02-03
PNR,News Prime et al.,2–3 Feb,2001.0,±2.2%p,38.0,44.3,4.3,6.3%,2022-02-03
Realmeter,OhmyNews,2–4 Feb,1509.0,±2.5%p,38.1,43.4,8.4,5.3%,2022-02-04
KSOI,Kukmin Ilbo,3–4 Feb,1006.0,±3.1%p,35.1,37.2,17.1,2.1%,2022-02-04
PNR,New Daily,4–5 Feb,2001.0,±2.2%p,37.7,48.0,3.7,10.3%,2022-02-05
Opinion Research Justice,Dailian,4–5 Feb,1000.0,±3.1%p,36.3,44.6,7.8,8.3%,2022-02-05
Embrain Public,JoongAng Ilbo,4–5 Feb,1005.0,±3.1%p,38.1,36.2,9.4,1.9%,2022-02-05
KIR,NewsPim,5 Feb,1006.0,±3.1%p,35.6,46.5,3.2,10.9%,2022-02-05
Mediatomato,News Tomato,5–6 Feb,1017.0,±3.1%p,36.8,44.9,3.5,8.1%,2022-02-06
KRi,MBC,5–6 Feb,1012.0,±3.1%p,35.3,37.1,12.3,1.8%,2022-02-06
Jowon C&I,Straight News,5–6 Feb,1003.0,±3.1%p,39.0,45.5,3.3,6.5%,2022-02-06
Jowon C&I,Sisa Journal,6–8 Feb,2020.0,±2.2%p,38.5,44.8,5.3,6.5%,2022-02-08
Gallup Korea,Money Today,7–8 Feb,1007.0,±3.1%p,36.9,40.1,9.1,3.2%,2022-02-08
Next Research,MBN,7–8 Feb,1001.0,±3.1%p,31.6,36.1,19.2,4.5%,2022-02-08
Hankook Research,KBS,7–9 Feb,1000.0,±3.1%p,34.0,37.7,16.2,3.7%,2022-02-09
National Barometer Survey,National Barometer Survey,7–9 Feb,1007.0,±3.1%p,35.0,35.0,16.0,Tie,2022-02-09
Media Research,OBS,8–9 Feb,1000.0,±3.1%p,39.0,44.3,4.2,5.3%,2022-02-09
Opinion Research Justice,Freedom Daily,9 Feb,1004.0,±3.1%p,40.1,44.6,0.0,4.5%,2022-02-09
Kantar Korea,Seoul Economic Daily,8–9 Feb,1008.0,±3.1%p,31.3,41.2,12.6,9.9%,2022-02-09
Gallup Korea,Gallup Korea,8–10 Feb,1001.0,±3.1%p,36.0,37.0,11.0,1%,2022-02-10
[citation needed],[citation needed],9–10 Feb,1000.0,±3.1%p,36.0,48.0,4.0,12%,2022-02-10
PNR,News Prime et al.,9–10 Feb,1018.0,±3.1%p,38.0,44.9,2.9,6.9%,2022-02-10
RealMeter,Oh My News,6–11 Feb,3040.0,±1.8%p,39.1,41.6,8.8,2.5%,2022-02-11
PNR,New Daily,11–12 Feb,2028.0,±2.2%p,40.3,46.6,3.3,6.3%,2022-02-12
KSOI,TBS,11–12 Feb,1005.0,±3.1%p,40.4,43.5,3.1,3.1%,2022-02-12
Opinion Research Justice,JKN,11–12 Feb,1000.0,±3.1%p,36.6,47.5,4.2,10.9%,2022-02-12
Opinion Research Justice,Dailian,11–12 Feb,1000.0,±3.1%p,38.2,46.6,5.7,8.4%,2022-02-12
Southern Post,CBS,12 Feb,1015.0,±3.1%p,35.0,35.5,19.3,0.5%,2022-02-12
KIR,NewsPim,12 Feb,1006.0,±3.1%p,39.4,44.3,2.7,4.9%,2022-02-12
Kantar Korea,TV Chosun,12–13 Feb,1010.0,±3.1%p,33.2,38.8,16.5,5.6%,2022-02-13
Mediatomato,Newstomato,12–13 Feb,1046.0,±3.0%p,40.2,43.2,1.9,3.0%,2022-02-13
ARC,Freedom Daily,13 Feb,1001.0,±3.1%p,36.9,48.7,2.8,11.8%,2022-02-13
Hangil Research,Kuki News,12–14 Feb,1009.0,±3.1%p,41.9,42.4,6.6,0.5%,2022-02-14
KSOI,TBS,5–6 Nov,1005.0,±3.1%p,30.3,45.8,15.0,15.5%,2022-11-06
PNR,New Daily,5–6 Nov,1009.0,±3.1%p,31.2,43.0,15.9,11.8%,2022-11-06
Realmeter,JoongBoo Daily,9–10 Nov,810.0,±3.4%p,35.4,45.0,7.7,9.6%,2022-11-10
ARC,ARC,10–11 Nov,1006.0,±3.1%p,34.6,47.4,9.5,12.8%,2022-11-11
Gallup Korea,Chosun Ilbo,16–18 Nov,1000.0,±3.1%p,31.0,42.0,15.0,11.0%,2022-11-18
PNR,New Daily,19–20 Nov,1007.0,±3.1%p,36.7,46.5,10.1,9.8%,2022-11-20
Gallup Korea,Money Today,22–23 Nov,1011.0,±3.1%p,37.1,38.4,15.0,1.3%,2022-11-23
GET,R&Search,23 Nov,1008.0,±3.1%p,36.1,44.5,8.8,8.4%,2022-11-23
KSOI,Hani,24 Nov,1000.0,±3.1%p,39.5,40.0,10.8,0.5%,2022-11-24
PNR,Khan,23–24 Nov,1011.0,±3.1%p,37.1,43.9,0.0,6.8%,2022-11-24
RealMeter,Hani,29 Nov,1000.0,±3.1%p,35.1,43.7,12.6,8.6%,2022-11-29
R&R,ChannelA,1 Dec,1008.0,±3.1%p,35.5,34.6,17.4,0.9%,2022-12-01
KSOI,TBS,2–3 Dec,1007.0,±3.1%p,37.9,41.2,12.0,4.3%,2022-12-03
PNR,New Daily,3–4 Dec,1004.0,±3.1%p,38.5,42.6,6.9,4.1%,2022-12-04
Gallup Korea,MoneyToday,6–7 Dec,1006.0,±3.1%p,35.5,36.4,16.4,0.1%,2022-12-07
Realmeter,The Watch,7–8 Dec,1028.0,±3.1%p,35.5,37.4,0.0,1.9%,2022-12-08
NewsSCJ,KIR,14 Dec,1022.0,±3.1%p,35.2,44.9,5.9,9.7%,2022-12-14
IMNews,MBC,14 Dec,1007.0,±3.1%p,34.5,38.7,16.4,4.2%,2022-12-14
KSOI,Hani,20 Dec,1008.0,±3.1%p,40.3,37.4,12.1,2.9%,2022-12-20
Realmeter Archived 2021-12-22 at the Wayback Machine,YTN,20–21 Dec,1027.0,±3.1%p,37.0,40.1,13.4,3.1%,2022-12-21
Realmeter,Ohmynews,19–24 Dec,3090.0,±1.8%p,39.7,40.4,11.4,0.7%,2022-12-24
Media research,Obsnews,23–24 Dec,1006.0,±3.1%p,42.8,35.5,8.7,7.3%,2022-12-24
KED,Chosun,23–24 Dec,1004.0,±3.1%p,37.8,37.5,10.2,0.3%,2022-12-24
SP,Chosun,24–25 Dec,1010.0,±3.1%p,36.6,27.7,24.7,8.9%,2022-12-25
KSOI,TBS,24–25 Dec,1000.0,±3.1%p,37.6,35.8,14.3,1.8%,2022-12-25
PNR,New Daily,24–25 Dec,1000.0,±3.1%p,40.4,41.1,10.1,0.7%,2022-12-25
Opinion Research Justice,Dailian,24–25 Dec,1000.0,±3.1%p,39.1,37.5,13.5,1.6%,2022-12-25
Mediatomato,Newstomato,25–26 Dec,1014.0,±3.1%p,40.1,33.9,13.8,6.2%,2022-12-26
KSOI,Harold Economy,27–28 Dec,1002.0,±3.1%p,42.9,37.8,11.5,5.1%,2022-12-28
Gallup Korea,The Seoul Shinmun,27–28 Dec,1008.0,±3.1%p,36.8,30.8,10.3,6.0%,2022-12-28
R&R,The Segye Times,27–29 Dec,1013.0,±3.1%p,35.5,30.9,19.2,4.6%,2022-12-29
ARC,Sportsseoul,29 Dec,1001.0,±3.1%p,41.5,38.8,7.0,2.7%,2022-12-29
Hankook Research,Hankookilbo,29–30 Dec,1005.0,±3.1%p,34.3,28.7,23.5,5.6%,2022-12-30
Korea research,KBS,29–31 Dec,1000.0,±3.1%p,39.3,27.3,21.6,12.0%,2022-12-31
KRI,MBC,29–31 Dec,1007.0,±3.1%p,38.5,28.4,20.7,10.1%,2022-12-31
NR,SBS,30–31 Dec,1003.0,±3.1%p,34.9,26.0,28.7,8.9%,2022-12-31
